job_id,source,country,job_title,company_name,description,requirements,location,posting_date,url,collected_at
topjobs_001,topjobs,Sri Lanka,Manager - Software Engineering,,"WE ARE <2
HIRING CAs
DRIVEN AND DYNAMIC LEADERS
Manager -
Software Engineering
APPLY NOW!!!",,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=0&ac=DEFZZZ&jc=0001534246&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_002,topjobs,Sri Lanka,Software Engineer,,"WE ARE LOOKING FOR
SOFTWARE ENGINEERS
Prima Management Services (Private) Limited is a subsidiary of the Singapore-based,
multinational conglomerate, the Prima Group of Companies , headquartered in Singapore. PMS
provides a comprehensive range of centralized IT services to blue-chip companies both in Sri
Lanka and overseas. We are looking for an individual who can efficiently identify customer
requirements and find the best solution for them.
» A Bachelor’s degree in Computer Science or a related field with 2 + years work experience in
enterprise level software development.
Sound knowledge in C#.net, ASP.Net, MVC, Web Services, JavaScript,jQuery,XML,Ajax
Experience in Web , mobile & desktop application development using .net technology
enviroment.
™ Experience in web api and client side scripting using JavaScript , jQuery , angular and
typescript would be an added advantage.
Strong Experience in SQL, including writing and optimizing complex queries.
Hands-on experience with Microsoft Azure, including Cl/CD pipeline implementation and
management.
™ Experience in mobile application development using Xamarin, .NET MAUI and React Native.
™ Demonstrable experience in Al application development or integrating Al technologies into
software solutions will be considered a strong advantage.
™ Design, develop, and maintain scalable enterprise-level web and mobile applications.
™ Write clean, efficient code and optimized SQL queries while participating in code reviews and
deployments on Microsoft Azure.
™ Collaborate with cross-functional teams to translate business and technical requirements into
robust software solutions, contributing across the full development lifecycle.
DO YOU HAVE THE KNACK IN CODING AND LOOKING FOR A CHANCE? SEND YOUR CV AND WE
HAVE THE BEST OPPORTUNITY FOR YOU.
HOW TO APPLY
Interested candidates can send their updated resume to IF YOU ARE PERSUASIVE, ENERGETIC &
. READY TO GO THE EXTRA MILE, COME
workatpms@prima.com.|k JOIN US!
please include the job title as the email subject.
PMS Prima Management Services (Private) Limited",,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=1&ac=DEFZZZ&jc=0001534058&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_003,topjobs,Sri Lanka,Mechatronics Engineers (Male),,,,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=3&ac=0000000223&jc=0001539676&ec=0000000266&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_004,topjobs,Sri Lanka,Engineering Service Executives for Kuliyapitiya (Male),,,,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=4&ac=0000000223&jc=0001539674&ec=0000000266&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_005,topjobs,Sri Lanka,Engineering Service Executives for Anuradhapura Area (Male),,,,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=5&ac=0000000223&jc=0001539673&ec=0000000266&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_006,topjobs,Sri Lanka,Web Development Manager,,,,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=6&ac=0000000201&jc=0001539511&ec=0000000635&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_007,topjobs,Sri Lanka,Trainee Software Engineers,,"@figen
TECHNOLOGIES
Trainee Software
Engineers
t
@e@e@ deploy. log
$ git commit -m “my first feature”
vy tests passed. shipped to prod.
ARE READY TO SHIP CODE?
KNOW GIT & OOP?
YOU LOVE A CHALLENGE?
Undergrad or grad? Let's begin.
Visit fidenz.com/careers to Apply",,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=7&ac=DEFZZZ&jc=0001539191&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_008,topjobs,Sri Lanka,Intern - Software Engineer,,"WE ARE ~> Ascent
The smartest way forward
Join Our Team at Ascent!
Are you ready to embark on a journey with a groundbreaking company
at the forefront of innovation? Ascent is seeking passionate individuals
to join our dynamic team. As we revolutionize the BPO industry, we are,
dedicated to pushing boundaries and redefining standards.
Discover new ideas and
s for your career!!!
About
At Ascent, we are driven by a relentless pursuit of excellence. Our commitment to innovation and customer satisfaction is
unparalleled in the industry. With a focus innovation and diversity, we are shaping the future and making a lasting impact.
Job
Are you passionate about software development and looking for an exciting internship opportunity?
We are seeking talented individuals to join our team as Intern — Software Engineers, where you'll gain hands-on
experience working on workflow-related applications and exploring RPA technologies.
What We're Looking For
Technical Skills:
¢ Strong foundation in Object-Oriented Programming (OOP) and Database Management Systems
(DBMS).
+ Basic understanding of workflow-related application development and RPA concepts.
¢ Familiarity with Software Development Life Cycle (SDLC), including documentation practices.
+ Preferable exposure to platforms such as Python, Java, SQL, Automation Anywhere, and UiPath.
Soft Skills:
A positive attitude with a commitment to learning and delivering high-quality work.
Strong problem-solving and analytical skills.
Candidate
Current enrollment in a Bachelor’s degree program in Computer Science, Information Technology, or a
related field, or equivalent practical experience.
Strong organizational and time management skills with attention to detail.
“ Excellent communication and interpersonal skills.
Innovative Environment: Be part of a team that thrives on creativity and forward-thinking.
Opportunity for Growth: We believe in investing in our employees’ professional development and providing opportunities for advancement.
Impactful Work: Your contributions will make a tangible difference in our company's success and the lives of our customers.
Collaborative Culture: Join a supportive and collaborative team where your ideas are valued and encouraged.
Competitive Benefits: Enjoy comprehensive benefits
What we
= Hybrid work environment = Rewards and wellness programs
= Office Transportation = Career Training programs
If you're a motivated individual with a passion for learning and innovation, we'd love to hear from you! Apply now and take the first
step towards an exciting career in software development.
Submit your resume and a brief cover letter outlining your experience and interests to
https://ascentsolutionz.com, @ Jobs@ascentsolutionz.com
Now @ tosascentsotuionzcon/ e",,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=8&ac=0000000441&jc=0001539124&ec=0000000583&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_009,topjobs,Sri Lanka,Software Engineer (JAVA | REACT),,"Software Engineer (JAVA / REACT)
Job Profile
The Software Engineer will be responsible for developing, enhancing, maintaining, and supporting
enterprise-level software applications within the financial services environment. The role will
contribute to the full software development lifecycle, from requirement analysis and solution
design through coding, testing, deployment, and ongoing maintenance, while ensuring the delivery
of secure, scalable, reliable, and high-quality software solutions.
Key Responsibilities
+ Analyse business and system requirements and translate them into effective technical
solutions.
« Design, develop, enhance, and maintain enterprise-level software applications using Java
and React.
+ Participate in the full software development lifecycle, including requirement analysis,
system design, coding, testing, deployment, and maintenance.
« Develop clean, efficient, scalable, and maintainable code in accordance with established
software development standards.
« Develop and integrate RESTful APIs and web-based applications.
« Apply sound Object-Oriented Programming (OOP) principles and software engineering
practices.
« Work with Spring Framework / Spring Boot and other relevant technologies to develop
robust application solutions.
« Collaborate closely with software developers, QA engineers, business users, and other
stakeholders to deliver quality software solutions.
« Analyse, troubleshoot, and resolve software defects, technical issues, and application-
related incidents in a timely manner.
« Conduct unit testing, debugging, and performance optimisation to ensure application
quality and reliability.
« Support the deployment, maintenance, and continuous improvement of software
applications.
« Ensure developed solutions comply with applicable security, coding, documentation, and
internal technology standards.
¢ Contribute to the continuous improvement of application performance, functionality,
security, and maintainability.
+ Keep abreast of emerging technologies, software development practices, and industry
trends relevant to the financial services sector.
« Perform any other duties and responsibilities assigned by the Management / relevant
superior.
Qualifications & Experience
« A Degree in Computer Science, Software Engineering, Information Technology, or a
related field from a recognised university will be an added advantage.
¢ Minimum one (1) year of hands-on experience in software development.
* Strong practical knowledge and experience in Java and React.
+ Experience in Spring Framework / Spring Boot will be an added advantage.
« Sound knowledge of Object-Oriented Programming (OOP) concepts.
* Practical knowledge of web application development and RESTful APIs.
Strong analytical, problem-solving, and troubleshooting skills.
¢ Good communication and interpersonal skills.
« Ability to work effectively in a collaborative and fast-paced team environment.
« Knowledge of AI tools and AI-assisted software development will be an added advantage.
Please send your resume stating the position applied on the subject line of e-mail with details
of two non-related referees within 7 days of this advertisement.
application@topjobs.1k",,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=9&ac=DEFZZZ&jc=0001539076&ec=DEFZZZ&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
topjobs_010,topjobs,Sri Lanka,Associate Software Engineer,,"WE ARE
HIRING
ASSOCIATE
SOFTWARE ENGINEER
=)
Our client is one of the leading
Educational Institute
which is located in Malabe.
KEY DUTIES & RESPONSIBILITIE:!
@ Analyzing requirements and designing, developing,
()
and deploying new software applications.
Identifying opportunities for improving existing
applications, making recommendations, and
designing and implementing enhancements.
Integrating existing software products with new
solutions to ensure the required outcomes.
Maintaining and improving existing codebases
and conducting peer reviews of code changes.
Testing software applications to ensure
quality and reliability.
) MINIMUM REQUIREMEN
i)
JOB
FACTORY
A Bachelor's degree in a relevant field from a
recognized University/Institution.
A minimum of 1 to 2 years of proven experience
in software development.
Strong knowledge on .NET technologies, relational
databases such as MS SQL, MySQL, and web
services and APis: REST, JSON
Knowledge of Entity Framework and LINQ, JavaScript
Experience in full-stack development and
working in an Agile environment.
| &
RIGHT
The Talent Search Engine
PEOPLE
|G
TECHNOLOGIES YOU'LL WORK WITH
SQL Server
) REST API
| @ Fear JS JavaScript
| LINQ
APPLY NOW
hr@jobfactory.lk
RIGHT
FUTURE
RIGHT
OPPORTUNITIES.",,,,https://www.topjobs.lk/employer/JobAdvertismentServlet?rid=10&ac=0000000375&jc=0001538862&ec=0000000492&pg=applicant/vacancybyfunctionalarea.jsp,2026-08-24
